"REPO_NAME","REPO_LINK","REPO_DESCRIPTION","REPO_ABOUT_LINK","REPO_TOPICS","REPO_README_PATH","REPO_COLLABORATION"
"AttendFlow-Workforce","https://github.com/TheOrionGD/AttendFlow-Workforce","A lightweight, transaction-safe attendance tracking platform built with Java 21 Servlets, MySQL, and a responsive dark-gold themed AngularJS Single Page Application (SPA).","","academic-project | angularjs | html-css-javascript | java | powershell","readmes\AttendFlow-Workforce_README.md","GRISH-SWIZZ"
"AegisNet-IDS","https://github.com/TheOrionGD/AegisNet-IDS","A real-time SIEM + SOAR + ML platform combining Snort 3 signature matching, Isolation Forest anomaly detection, and NetworkX attack path correlation with automated firewall mitigation.","","siem | snort3 | soar | vmware","readmes\AegisNet-IDS_README.md","GRISH-SWIZZ | Girijesh26"
"FaceShield-Authentication","https://github.com/TheOrionGD/FaceShield-Authentication","A decentralized biometric workforce platform built for the NHAI Innovation Hackathon 7.0.","https://face-shield-snowy.vercel.app/","fastapi | mongodb-database | nestjs-backend | netlify-deployment | nodejs | onnx-runtime | opencv | postgresql-database | prisma | python3 | react19 | render-deployment | sqlite3 | tailwindcss-v4 | vite | zustand","readmes\FaceShield-Authentication_README.md","AJU26-ARJUN"
"FenceIN-AccessControl","https://github.com/TheOrionGD/FenceIN-AccessControl","Smart workforce management platform with biometric attendance, geo-fencing, employee monitoring, real-time tracking, and AI-powered assistant support for enterprise operations.","","biometric-authentication | css | geofencing | management-system | nextjs | reactjs | realtime-tracking | tailwindcss | typescript | vite | workforce-management","readmes\FenceIN-AccessControl_README.md","GRISH-SWIZZ"
"CableSnap-AssetManager","https://github.com/TheOrionGD/CableSnap-AssetManager","","https://cablesnap.vercel.app","","readmes\CableSnap-AssetManager_README.md",""
"PatientTracker-Healthcare","https://github.com/TheOrionGD/PatientTracker-Healthcare","","","","",""
"IntelliCredit-RiskEngine","https://github.com/TheOrionGD/IntelliCredit-RiskEngine","","https://intellicredit.vercel.app","","readmes\IntelliCredit-RiskEngine_README.md","GRISH-SWIZZ | Girijesh26"
"ChronoSync-TaskManager","https://github.com/TheOrionGD/ChronoSync-TaskManager","","","","readmes\ChronoSync-TaskManager_README.md",""
"CodeSight-DeveloperToolkit","https://github.com/TheOrionGD/CodeSight-DeveloperToolkit","","","","readmes\CodeSight-DeveloperToolkit_README.md",""
"EchoFrame-Platform","https://github.com/TheOrionGD/EchoFrame-Platform","","","","",""
